,Start Date,End Date
0,2023-07-03 09:45:00+05:30,2023-07-03 10:15:00+05:30
1,2023-07-03 10:45:00+05:30,2023-07-03 11:15:00+05:30
2,2023-07-03 12:15:00+05:30,2023-07-03 12:45:00+05:30
3,2023-07-03 12:45:00+05:30,2023-07-03 13:15:00+05:30
4,2023-07-03 13:15:00+05:30,2023-07-03 13:45:00+05:30
5,2023-07-03 13:45:00+05:30,2023-07-03 14:15:00+05:30
6,2023-07-03 14:15:00+05:30,2023-07-03 14:45:00+05:30
7,2023-07-04 09:45:00+05:30,2023-07-04 10:15:00+05:30
8,2023-07-04 12:15:00+05:30,2023-07-04 12:45:00+05:30
9,2023-07-04 12:45:00+05:30,2023-07-04 13:15:00+05:30
10,2023-07-04 13:15:00+05:30,2023-07-04 13:45:00+05:30
11,2023-07-04 13:45:00+05:30,2023-07-04 14:15:00+05:30
12,2023-07-04 14:15:00+05:30,2023-07-04 14:45:00+05:30
13,2023-07-05 10:15:00+05:30,2023-07-05 10:45:00+05:30
14,2023-07-05 11:45:00+05:30,2023-07-05 12:15:00+05:30
15,2023-07-05 12:15:00+05:30,2023-07-05 12:45:00+05:30
16,2023-07-05 12:45:00+05:30,2023-07-05 13:15:00+05:30
17,2023-07-05 13:15:00+05:30,2023-07-05 13:45:00+05:30
18,2023-07-05 13:45:00+05:30,2023-07-05 14:15:00+05:30
19,2023-07-05 14:15:00+05:30,2023-07-05 14:45:00+05:30
20,2023-07-06 09:45:00+05:30,2023-07-06 10:15:00+05:30
21,2023-07-06 10:15:00+05:30,2023-07-06 10:45:00+05:30
22,2023-07-06 11:15:00+05:30,2023-07-06 11:45:00+05:30
23,2023-07-06 12:45:00+05:30,2023-07-06 13:15:00+05:30
