,Start Date,End Date,High,Low,Entry Above High,Entry Below Low,Stop Loss Above Entry,Stop Loss Below Entry,Target Profit Above Entry,Target Profit Below Entry
0,2023-06-01 11:15:00,2023-06-01 11:45:00,44141.8,44043.9,44141.8,44043.9,44043.9,44141.8,44288.65000000001,43897.05
1,2023-06-01 11:45:00,2023-06-01 12:15:00,44164.0,44043.9,44164.0,44043.9,44043.9,44164.0,44344.149999999994,43863.75
2,2023-06-01 13:15:00,2023-06-01 13:45:00,44177.95,44000.05,44177.95,44000.05,44000.05,44177.95,44444.79999999999,43733.20000000001
3,2023-06-02 09:45:00,2023-06-02 10:15:00,44011.65,43813.65,44011.65,43813.65,43813.65,44011.65,44308.65,43516.65
4,2023-06-02 13:15:00,2023-06-02 13:45:00,44088.9,43935.15,44088.9,43935.15,43935.15,44088.9,44319.525,43704.525
5,2023-06-02 14:15:00,2023-06-02 14:45:00,44020.75,43840.15,44020.75,43840.15,43840.15,44020.75,44291.649999999994,43569.25
6,2023-06-05 10:15:00,2023-06-05 10:45:00,44254.7,44151.95,44254.7,44151.95,44151.95,44254.7,44408.825,43997.825
7,2023-06-05 10:45:00,2023-06-05 11:15:00,44261.95,44165.95,44261.95,44165.95,44165.95,44261.95,44405.95,44021.95
8,2023-06-05 12:45:00,2023-06-05 13:15:00,44245.9,44165.85,44245.9,44165.85,44165.85,44245.9,44365.975000000006,44045.774999999994
9,2023-06-05 13:15:00,2023-06-05 13:45:00,44265.25,44174.85,44265.25,44174.85,44174.85,44265.25,44400.850000000006,44039.25
10,2023-06-06 09:45:00,2023-06-06 10:15:00,44165.75,44054.0,44165.75,44054.0,44054.0,44165.75,44333.375,43886.375
11,2023-06-06 10:15:00,2023-06-06 10:45:00,44095.3,44011.0,44095.3,44011.0,44011.0,44095.3,44221.75000000001,43884.549999999996
12,2023-06-06 10:45:00,2023-06-06 11:15:00,44095.3,44009.7,44095.3,44009.7,44009.7,44095.3,44223.70000000001,43881.29999999999
